ShortSelling at 2022-03-03 13:20:00 for 4554.6 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-03-03 13:34:00 for 4541.8 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-03 13:59:00 for 4553.2 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-04 09:31:00 for 4502.6 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-03-04 09:54:00 for 4515.8 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-04 10:02:00 for 4502.8 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-03-04 10:15:00 for 4514.0 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-04 10:47:00 for 4526.2 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-04 10:50:00 for 4524.2 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-03-04 11:28:00 for 4512.0 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-03-04 11:30:00 for 4506.6 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-03-04 13:29:00 for 4495.4 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-04 13:44:00 for 4508.4 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-04 14:02:00 for 4496.2 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-03-08 09:50:00 for 4360.4 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-03-08 09:56:00 for 4347.8 under 1 minute data, Reason: loss limit, Current: Empty
ShortSelling at 2022-03-08 10:15:00 for 4337.0 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-03-08 10:26:00 for 4325.0 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-08 13:30:00 for 4302.6 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-03-08 13:53:00 for 4311.8 under 1 minute data, Reason: profit limit, Current: Empty
ShortSelling at 2022-03-08 14:25:00 for 4265.8 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-03-09 09:40:00 for 4278.8 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-03-09 09:47:00 for 4291.6 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-09 09:55:00 for 4276.4 under 1 minute data, Reason: loss limit, Current: Empty
PutBuying at 2022-03-09 10:05:00 for 4261.0 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-03-09 10:20:00 for 4268.0 under 5 minute data, Reason: MA cross, Current: Empty
ShortSelling at 2022-03-09 10:25:00 for 4258.2 under 5 minute data, Reason: empty, Current: ShortSelling
Empty at 2022-03-09 11:02:00 for 4247.2 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-09 14:40:00 for 4204.4 under 5 minute data, Reason: empty, Current: PutBuying
Empty at 2022-03-09 14:47:00 for 4207.6 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-10 09:31:00 for 4289.0 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
Empty at 2022-03-10 09:52:00 for 4298.2 under 1 minute data, Reason: profit limit, Current: Empty
PutBuying at 2022-03-10 11:07:00 for 4308.4 under 1 minute data, Reason: exceed restore limit, Current: PutBuying
